id;type;description;order_date;expedition_date;expected_delivery_date;production_cost;transportation_cost;vat_fees;price;is_delivered;departure_country;arrival_country;transportation_mode
1;Électronique;Smartphone;2023-01-10;2023-01-15;2023-01-30;250.0;20.0;50.0;400.0;true;Chine;États-Unis;Aérien
2;Vêtements;Veste en cuir;2023-02-05;2023-02-10;2023-02-25;80.0;15.0;20.0;150.0;false;Italie;France;Maritime
3;Électroménager;Machine à laver;2023-03-20;2023-03-25;2023-04-10;350.0;30.0;70.0;500.0;false;Allemagne;Royaume-Uni;Terrestre
4;Livres;Collection de poésie;2023-04-12;2023-04-15;2023-04-30;40.0;10.0;5.0;70.0;true;Espagne;Mexique;Aérien
5;Sport;Équipement de camping;2023-05-08;2023-05-12;2023-05-28;120.0;25.0;15.0;180.0;false;Canada;Australie;Maritime
6;Électronique;Casque sans fil;2023-06-03;2023-06-10;2023-06-25;120.0;10.0;30.0;200.0;false;Corée du Sud;Brésil;Aérien
7;Vêtements;Robe de soirée;2023-07-15;2023-07-20;2023-08-05;150.0;20.0;25.0;220.0;false;France;Canada;Terrestre
8;Électroménager;Réfrigérateur;2023-08-02;2023-08-08;2023-08-25;400.0;40.0;80.0;550.0;false;Japon;Allemagne;Maritime
9;Livres;Roman policier;2023-09-18;2023-09-25;2023-10-10;30.0;5.0;3.0;50.0;true;Italie;États-Unis;Aérien
10;Sport;Raquettes de tennis;2023-10-12;2023-10-18;2023-11-02;90.0;15.0;10.0;120.0;false;Australie;France;Terrestre
11;Électronique;Caméra DSLR;2023-11-25;2023-12-02;2023-12-18;300.0;25.0;60.0;450.0;false;États-Unis;Chine;Aérien
12;Vêtements;Chaussures de sport;2023-12-10;2023-12-15;2023-12-30;60.0;12.0;15.0;100.0;true;Royaume-Uni;Australie;Maritime
13;Électroménager;Cafetière;2024-01-05;2024-01-10;2024-01-25;70.0;8.0;20.0;100.0;false;Brésil;Espagne;Terrestre
14;Livres;Guide de voyage;2024-02-20;2024-02-25;2024-03-10;20.0;5.0;2.0;30.0;true;Canada;Japon;Aérien
15;Sport;Planche de surf;2024-03-15;2024-03-20;2024-04-05;150.0;30.0;25.0;220.0;false;Australie;États-Unis;Maritime
16;Électronique;Enceinte Bluetooth;2024-04-08;2024-04-15;2024-04-30;80.0;10.0;15.0;120.0;false;Chine;France;Aérien
17;Vêtements;Costume formel;2024-05-20;2024-05-25;2024-06-10;100.0;18.0;30.0;160.0;true;Italie;Royaume-Uni;Terrestre
18;Électroménager;Aspirateur robot;2024-06-03;2024-06-10;2024-06-25;200.0;20.0;40.0;300.0;false;Allemagne;Canada;Maritime
19;Livres;Biographie;2024-07-15;2024-07-20;2024-08-05;25.0;5.0;3.0;40.0;true;Espagne;Brésil;Aérien
20;Sport;Tapis de yoga;2024-08-02;2024-08-08;2024-08-25;40.0;8.0;5.0;60.0;false;Japon;Corée du Sud;Terrestre
21;Électronique;Laptop;2024-09-18;2024-09-25;2024-10-10;600.0;40.0;90.0;750.0;false;Chine;États-Unis;Aérien
22;Vêtements;Écharpe en laine;2024-10-12;2024-10-18;2024-11-02;20.0;5.0;2.0;30.0;true;France;Italie;Maritime
23;Électroménager;Fer à repasser;2024-11-05;2024-11-12;2024-11-28;30.0;8.0;5.0;45.0;false;Allemagne;Royaume-Uni;Terrestre
24;Livres;Dictionnaire multilingue;2024-12-20;2024-12-25;2025-01-10;35.0;5.0;2.0;45.0;true;Espagne;Mexique;Aérien
25;Sport;Haltères;2025-01-15;2025-01-22;2025-02-06;50.0;10.0;8.0;75.0;false;Canada;Australie;Maritime
26;Électronique;Imprimante;2025-02-08;2025-02-15;2025-03-02;120.0;15.0;30.0;180.0;true;Corée du Sud;Brésil;Aérien
27;Vêtements;Jean délavé;2025-03-22;2025-03-28;2025-04-12;40.0;8.0;10.0;60.0;false;Italie;France;Terrestre
28;Électroménager;Four à micro-ondes;2025-04-10;2025-04-15;2025-04-30;80.0;12.0;15.0;120.0;false;Japon;Allemagne;Maritime
29;Livres;Livre d'art;2025-05-25;2025-05-30;2025-06-14;60.0;10.0;5.0;80.0;true;Brésil;Espagne;Aérien
30;Sport;Gants de boxe;2025-06-12;2025-06-18;2025-07-03;35.0;7.0;5.0;50.0;false;Australie;France;Terrestre
31;Électronique;Lunettes de réalité virtuelle;2025-07-20;2025-07-25;2025-08-09;180.0;15.0;30.0;250.0;false;États-Unis;Chine;Aérien
32;Vêtements;T-shirt graphique;2025-08-10;2025-08-15;2025-08-30;15.0;4.0;3.0;25.0;true;Royaume-Uni;Australie;Maritime
33;Électroménager;Batteur électrique;2025-09-25;2025-10-02;2025-10-18;40.0;8.0;10.0;60.0;false;Brésil;Espagne;Terrestre
34;Livres;Carnet de croquis;2025-10-15;2025-10-20;2025-11-04;25.0;5.0;2.0;35.0;true;Canada;Japon;Aérien
35;Sport;Ballon de football;2025-11-08;2025-11-15;2025-11-30;30.0;6.0;5.0;45.0;false;Australie;États-Unis;Maritime
36;Électronique;Montre connectée;2025-12-02;2025-12-10;2025-12-25;120.0;12.0;25.0;160.0;true;Chine;France;Aérien
