id;type;description;order_date;expedition_date;expected_delivery_date;production_cost;transportation_cost;vat_fees;price;is_delivered;departure_country;arrival_country;transportation_mode
1;Électronique;Smartphone;2023-01-10;2023-01-15;2023-01-30;250;20;50;400;true;Chine;États-Unis;Aérien
2;Vêtements;Veste en cuir;2023-02-05;2023-02-10;2023-02-25;80;15;20;150;false;Italie;France;Maritime
3;Électroménager;Machine à laver;2023-03-20;2023-03-25;2023-04-10;350;30;70;500;false;Allemagne;Royaume-Uni;Terrestre
4;Livres;Collection de poésie;2023-04-12;2023-04-15;2023-04-30;40;10;5;70;true;Espagne;Mexique;Aérien
5;Sport;Équipement de camping;2023-05-08;2023-05-12;2023-05-28;120;25;15;180;false;Canada;Australie;Maritime
6;Électronique;Casque sans fil;2023-06-03;2023-06-10;2023-06-25;120;10;30;200;false;Corée du Sud;Brésil;Aérien
7;Vêtements;Robe de soirée;2023-07-15;2023-07-20;2023-08-05;150;20;25;220;false;France;Canada;Terrestre
8;Électroménager;Réfrigérateur;2023-08-02;2023-08-08;2023-08-25;400;40;80;550;false;Japon;Allemagne;Maritime
9;Livres;Roman policier;2023-09-18;2023-09-25;2023-10-10;30;5;3;50;true;Italie;États-Unis;Aérien
10;Sport;Raquettes de tennis;2023-10-12;2023-10-18;2023-11-02;90;15;10;120;false;Australie;France;Terrestre
11;Électronique;Caméra DSLR;2023-11-25;2023-12-02;2023-12-18;300;25;60;450;false;États-Unis;Chine;Aérien
12;Vêtements;Chaussures de sport;2023-12-10;2023-12-15;2023-12-30;60;12;15;100;true;Royaume-Uni;Australie;Maritime
13;Électroménager;Cafetière;2024-01-05;2024-01-10;2024-01-25;70;8;20;100;false;Brésil;Espagne;Terrestre
14;Livres;Guide de voyage;2024-02-20;2024-02-25;2024-03-10;20;5;2;30;true;Canada;Japon;Aérien
15;Sport;Planche de surf;2024-03-15;2024-03-20;2024-04-05;150;30;25;220;false;Australie;États-Unis;Maritime
16;Électronique;Enceinte Bluetooth;2024-04-08;2024-04-15;2024-04-30;80;10;15;120;false;Chine;France;Aérien
17;Vêtements;Costume formel;2024-05-20;2024-05-25;2024-06-10;100;18;30;160;true;Italie;Royaume-Uni;Terrestre
18;Électroménager;Aspirateur robot;2024-06-03;2024-06-10;2024-06-25;200;20;40;300;false;Allemagne;Canada;Maritime
19;Livres;Biographie;2024-07-15;2024-07-20;2024-08-05;25;5;3;40;true;Espagne;Brésil;Aérien
20;Sport;Tapis de yoga;2024-08-02;2024-08-08;2024-08-25;40;8;5;60;false;Japon;Corée du Sud;Terrestre
21;Électronique;Laptop;2024-09-18;2024-09-25;2024-10-10;600;40;90;750;false;Chine;États-Unis;Aérien
22;Vêtements;Écharpe en laine;2024-10-12;2024-10-18;2024-11-02;20;5;2;30;true;France;Italie;Maritime
23;Électroménager;Fer à repasser;2024-11-05;2024-11-12;2024-11-28;30;8;5;45;false;Allemagne;Royaume-Uni;Terrestre
24;Livres;Dictionnaire multilingue;2024-12-20;2024-12-25;2025-01-10;35;5;2;45;true;Espagne;Mexique;Aérien
25;Sport;Haltères;2025-01-15;2025-01-22;2025-02-06;50;10;8;75;false;Canada;Australie;Maritime
26;Électronique;Imprimante;2025-02-08;2025-02-15;2025-03-02;120;15;30;180;true;Corée du Sud;Brésil;Aérien
27;Vêtements;Jean délavé;2025-03-22;2025-03-28;2025-04-12;40;8;10;60;false;Italie;France;Terrestre
28;Électroménager;Four à micro-ondes;2025-04-10;2025-04-15;2025-04-30;80;12;15;120;false;Japon;Allemagne;Maritime
29;Livres;Livre d'art;2025-05-25;2025-05-30;2025-06-14;60;10;5;80;true;Brésil;Espagne;Aérien
30;Sport;Gants de boxe;2025-06-12;2025-06-18;2025-07-03;35;7;5;50;false;Australie;France;Terrestre
31;Électronique;Lunettes de réalité virtuelle;2025-07-20;2025-07-25;2025-08-09;180;15;30;250;false;États-Unis;Chine;Aérien
32;Vêtements;T-shirt graphique;2025-08-10;2025-08-15;2025-08-30;15;4;3;25;true;Royaume-Uni;Australie;Maritime
33;Électroménager;Batteur électrique;2025-09-25;2025-10-02;2025-10-18;40;8;10;60;false;Brésil;Espagne;Terrestre
34;Livres;Carnet de croquis;2025-10-15;2025-10-20;2025-11-04;25;5;2;35;true;Canada;Japon;Aérien
35;Sport;Ballon de football;2025-11-08;2025-11-15;2025-11-30;30;6;5;45;false;Australie;États-Unis;Maritime
36;Électronique;Montre connectée;2025-12-02;2025-12-10;2025-12-25;120;12;25;160;true;Chine;France;Aérien
37;Vêtements;Chapeau de soleil;2026-01-18;2026-01-25;2026-02-09;18;3;2;25;false;Italie;France;Terrestre
38;Électroménager;Grille-pain;2026-02-05;2026-02-12;2026-02-28;25;5;5;35;false;Allemagne;Royaume-Uni;Maritime
39;Livres;BD humoristique;2026-03-22;2026-03-28;2026-04-12;20;4;2;30;true;Espagne;Mexique;Aérien
40;Sport;Bouteille d'eau réutilisable;2026-04-10;2026-04-15;2026-04-30;10;2;1;15;false;Canada;Australie;Terrestre
41;Électronique;Enceinte intelligente;2026-05-25;2026-05-30;2026-06-14;70;8;15;100;true;Corée du Sud;Brésil;Aérien
42;Vêtements;Chemise à carreaux;2026-06-12;2026-06-18;2026-07-03;35;7;5;50;false;Italie;France;Terrestre
43;Électroménager;Mixeur;2026-07-20;2026-07-25;2026-08-09;45;10;10;65;false;Japon;Allemagne;Maritime
44;Livres;Guide de jardinage;2026-08-10;2026-08-15;2026-08-30;28;5;3;40;true;France;Royaume-Uni;Aérien
45;Sport;Tapis de course;2026-09-25;2026-10-02;2026-10-18;300;30;50;400;false;Australie;États-Unis;Maritime
46;Électronique;Casque antibruit;2026-10-15;2026-10-20;2026-11-04;90;10;20;120;true;États-Unis;Chine;Aérien
47;Vêtements;Jupe en denim;2026-11-08;2026-11-15;2026-11-30;25;5;5;35;false;Royaume-Uni;Australie;Terrestre
48;Électroménager;Robot de cuisine multifonction;2026-12-02;2026-12-10;2026-12-25;150;20;30;200;false;Brésil;Espagne;Aérien
49;Livres;Recueil de poésie contemporaine;2027-01-18;2027-01-25;2027-02-09;30;6;4;45;true;Canada;Japon;Maritime
50;Sport;Sac de sport;2027-02-05;2027-02-12;2027-02-28;20;4;3;30;false;Australie;États-Unis;Terrestre
51;Électronique;Tablette;2027-03-22;2027-03-28;2027-04-12;180;15;30;250;false;États-Unis;Chine;Aérien
52;Vêtements;Chemisier en soie;2027-04-10;2027-04-15;2027-04-30;35;8;10;55;true;France;Italie;Maritime
53;Électroménager;Yaourtière;2027-05-25;2027-05-30;2027-06-14;40;8;10;60;false;Brésil;Espagne;Terrestre
54;Livres;Roman de science-fiction;2027-06-12;2027-06-18;2027-07-03;25;5;3;35;true;Canada;Japon;Aérien
55;Sport;Vélo de montagne;2027-07-20;2027-07-25;2027-08-09;250;30;40;350;false;Australie;États-Unis;Maritime
56;Électronique;Clavier mécanique;2027-08-10;2027-08-15;2027-08-30;80;10;15;120;true;Chine;France;Aérien
57;Vêtements;Short de plage;2027-09-25;2027-10-02;2027-10-18;20;4;3;30;false;Italie;France;Terrestre
58;Électroménager;Machine à glaçons;2027-10-15;2027-10-20;2027-11-04;50;8;10;70;false;Allemagne;Royaume-Uni;Maritime
59;Livres;Album de bande dessinée;2027-11-08;2027-11-15;2027-11-30;15;3;2;20;true;Espagne;Mexique;Aérien
60;Sport;Raquettes de badminton;2027-12-02;2027-12-10;2027-12-25;30;6;5;45;false;Australie;France;Terrestre
61;Électronique;Souris sans fil;2028-01-18;2028-01-25;2028-02-09;15;3;2;25;true;Corée du Sud;Brésil;Aérien
62;Vêtements;Maillot de bain;2028-02-05;2028-02-12;2028-02-28;25;5;4;35;false;Italie;Espagne;Maritime
63;Électroménager;Centrifugeuse;2028-03-22;2028-03-28;2028-04-12;40;8;10;60;false;Japon;Allemagne;Terrestre
64;Livres;Thriller psychologique;2028-04-10;2028-04-15;2028-04-30;30;5;4;45;true;France;Royaume-Uni;Aérien
65;Sport;Sac à dos de randonnée;2028-05-25;2028-05-30;2028-06-14;50;10;8;70;false;Australie;États-Unis;Maritime
66;Électronique;Disque dur externe;2028-06-12;2028-06-18;2028-07-03;90;15;20;130;true;États-Unis;Chine;Aérien
67;Vêtements;Pantalon de jogging;2028-07-20;2028-07-25;2028-08-09;30;5;3;40;false;Royaume-Uni;Australie;Terrestre
68;Électroménager;Grille-pain à convection;2028-08-10;2028-08-15;2028-08-30;60;10;12;85;false;Brésil;Espagne;Maritime
69;Livres;Livre de cuisine végétarienne;2028-09-25;2028-10-02;2028-10-18;25;4;3;35;true;Canada;Japon;Aérien
70;Sport;Gourde isotherme;2028-10-15;2028-10-20;2028-11-04;20;3;2;30;false;Australie;États-Unis;Terrestre
71;Électronique;Écouteurs sans fil;2028-11-08;2028-11-15;2028-11-30;40;8;10;60;true;Corée du Sud;France;Aérien
72;Vêtements;Chemise en lin;2028-12-02;2028-12-10;2028-12-25;45;6;8;65;false;Italie;Espagne;Maritime
